question_raw,question_theme,question_coded,question_text,reworded,survey_text,menu_text
Q8978235.9,Sexual Health,shinfo_doctor,health professionals,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from health professionals,health professionals
Q8978236,Sexual Health,std_herpes,genital herpes,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their knowledge regarding <b>%s</b> was %s %s students (%s). ,What do you know about genital herpes?,genital herpes
Q8978236.2,Sexual Health,std_warts,genital warts,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their knowledge regarding <b>%s</b> was %s %s students (%s). ,What do you know about genital warts?,genital warts
Q8978236.3,Sexual Health,std_gono,gonorrhoea,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their knowledge regarding <b>%s</b> was %s %s students (%s). ,What do you know about gonorrhoea?,gonorrhoea
Q8978236.4,Sexual Health,std_hiv,HIV,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their knowledge regarding <b>%s</b> was %s %s students (%s). ,What do you know about HIV?,HIV
Q8978236.5,Sexual Health,std_chlamydia,chlamydia,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their knowledge regarding <b>%s</b> was %s %s students (%s). ,What do you know about chlamydia?,chlamydia
Q8978236.6,Sexual Health,std_syphilis,syphilis,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their knowledge regarding <b>%s</b> was %s %s students (%s). ,What do you know about syphilis?,syphilis
Q8978237,Sexual Health,condoms_free,they know where they can get condoms for free,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s</b> was %s %s students (%s). ,Do you know where you can get condoms for free?,
Q8978238,Sexual Health,sh_access,they know how to access sexual health services?,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s</b> was %s %s students (%s). ,Do you know how to access sexual health services?,
Q8978240,Sexual Health,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about <b>%s</b> was %s %s students (%s). ,Where would you go for support to get contraception or a test for STIs?,
